suburb,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
NUNAWADING,12089.0,12363.0,12628.0,12786.0,12840.0,12861.0,12518.0,12576.0,12903.0,13192.0
OAK PARK,7366.0,7604.0,7781.0,7943.0,8073.0,8153.0,7978.0,8081.0,8257.0,8450.0
OCEAN GROVE,15547.0,16186.0,16814.0,17430.0,18117.0,18766.0,19393.0,19828.0,20188.0,20456.0
ORBOST,6528.0,6497.0,6507.0,6533.0,6570.0,6619.0,6693.0,6668.0,6651.0,6671.0
PASCOE VALE,16547.0,17225.0,17551.0,17860.0,17962.0,17951.0,17402.0,17425.0,17876.0,18356.0
PASCOE VALE SOUTH,10251.0,10465.0,10698.0,10834.0,10873.0,10836.0,10463.0,10398.0,10600.0,10831.0
PAYNESVILLE,6200.0,6374.0,6455.0,6599.0,6740.0,6796.0,6902.0,6971.0,7020.0,7113.0
PORT MELBOURNE,17254.0,17469.0,17494.0,17354.0,17310.0,16998.0,16366.0,16365.0,16752.0,16817.0
PORTARLINGTON,7276.0,7517.0,7775.0,8092.0,8417.0,8886.0,9460.0,9911.0,10260.0,10599.0
PORTLAND,10919.0,10943.0,10997.0,11067.0,11150.0,11198.0,11183.0,11135.0,11124.0,11116.0
RED CLIFFS,5855.0,5947.0,6054.0,6121.0,6158.0,6210.0,6123.0,6070.0,6023.0,6043.0
RIDDELLS CREEK,4113.0,4174.0,4250.0,4298.0,4340.0,4442.0,4498.0,4521.0,4537.0,4520.0
RINGWOOD,17654.0,17931.0,18301.0,18504.0,18876.0,19158.0,18919.0,18962.0,19297.0,19593.0
RINGWOOD EAST,20657.0,21031.0,21322.0,21495.0,21660.0,21785.0,21351.0,21244.0,21435.0,21824.0
RINGWOOD NORTH,9910.0,9991.0,10056.0,10073.0,10044.0,9931.0,9723.0,9651.0,9683.0,9777.0
ROBINVALE,3412.0,3382.0,3484.0,3598.0,3702.0,3769.0,3749.0,3664.0,3718.0,3691.0
ROCHESTER,3887.0,3895.0,3923.0,3941.0,3949.0,3973.0,3988.0,3943.0,3769.0,3683.0
ROMSEY,9389.0,9663.0,9898.0,10102.0,10372.0,10612.0,10835.0,11079.0,11247.0,11463.0
ROSEDALE,4759.0,4791.0,4856.0,4900.0,4920.0,4870.0,4912.0,4853.0,4865.0,4893.0
RUSHWORTH,4084.0,4076.0,4070.0,4079.0,4094.0,4129.0,4168.0,4144.0,4165.0,4179.0
RUTHERGLEN,3857.0,3907.0,3934.0,3976.0,4012.0,4029.0,4021.0,4024.0,4075.0,4108.0
SALE,14781.0,14891.0,14914.0,14988.0,15075.0,15173.0,15264.0,15258.0,15275.0,15270.0
SEABROOK,5352.0,5408.0,5417.0,5397.0,5368.0,5250.0,4999.0,4854.0,4903.0,4932.0
SEYMOUR,6407.0,6403.0,6433.0,6477.0,6516.0,6538.0,6546.0,6557.0,6637.0,6816.0
SOMERVILLE,18685.0,18878.0,18906.0,18911.0,18847.0,18795.0,18693.0,18596.0,18776.0,18921.0
SOUTH MELBOURNE,12177.0,12407.0,12512.0,12716.0,12764.0,12721.0,11856.0,11828.0,12455.0,12826.0
SPRINGVALE,22188.0,22761.0,23216.0,23549.0,23774.0,23650.0,22515.0,22598.0,23468.0,24023.0
SPRINGVALE SOUTH,13065.0,13227.0,13299.0,13327.0,13338.0,13295.0,12728.0,12450.0,12813.0,13111.0
ST ARNAUD,3413.0,3353.0,3352.0,3364.0,3394.0,3427.0,3428.0,3436.0,3416.0,3384.0
ST KILDA EAST,17315.0,17613.0,17568.0,17655.0,17715.0,17259.0,16073.0,15951.0,16707.0,17237.0
STAWELL,8239.0,8225.0,8249.0,8279.0,8322.0,8387.0,8467.0,8422.0,8435.0,8369.0
STRATHFIELDSAYE,8355.0,8775.0,9125.0,9483.0,9901.0,10312.0,10679.0,11012.0,11248.0,11457.0
STRATHMORE,9729.0,9968.0,10157.0,10269.0,10311.0,10277.0,10107.0,10167.0,10301.0,10427.0
SUNBURY,13170.0,13238.0,13338.0,13454.0,13637.0,13858.0,13788.0,13820.0,14197.0,14758.0
SUNSHINE,10083.0,10241.0,10303.0,10318.0,10306.0,10100.0,9568.0,9601.0,9910.0,10059.0
SUNSHINE NORTH,11890.0,12123.0,12323.0,12461.0,12490.0,12451.0,12161.0,11966.0,12185.0,12462.0
SUNSHINE WEST,19013.0,19533.0,19786.0,19893.0,19915.0,19633.0,18770.0,18266.0,18527.0,18724.0
SWAN HILL,11022.0,11079.0,11153.0,11216.0,11264.0,11278.0,11173.0,11003.0,10905.0,10781.0
SYDENHAM,12432.0,12585.0,12662.0,12679.0,12660.0,12432.0,11859.0,11583.0,11776.0,11929.0
TAYLORS HILL,19486.0,20218.0,20443.0,20453.0,20444.0,20288.0,19794.0,19859.0,19863.0,19818.0
TAYLORS LAKES,18474.0,18455.0,18313.0,18175.0,17974.0,17614.0,17070.0,16754.0,16903.0,16966.0
TEMPLESTOWE,17550.0,17682.0,17713.0,17680.0,17674.0,17548.0,17101.0,17136.0,17429.0,17419.0
TEMPLESTOWE LOWER,14155.0,14305.0,14403.0,14419.0,14441.0,14581.0,14280.0,14336.0,14433.0,14586.0
THE BASIN,4423.0,4441.0,4460.0,4469.0,4455.0,4415.0,4380.0,4299.0,4297.0,4318.0
THOMASTOWN,21442.0,21485.0,21490.0,21458.0,21367.0,21173.0,20201.0,19959.0,20162.0,20484.0
THORNBURY,19254.0,19578.0,19720.0,19714.0,19729.0,19791.0,19153.0,19126.0,19544.0,19893.0
