suburb,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SEABROOK,456000.0,509000.0,635000.0,672500.0,626500.0,652500.0,730000.0,755000.0,741500.0,764500.0
SEYMOUR,225000.0,242500.0,277000.0,295000.0,300000.0,325000.0,390000.0,450000.0,467500.0,445000.0
SOMERVILLE,425000.0,465000.0,580000.0,615000.0,600000.0,640000.0,780000.0,812000.0,765000.0,812500.0
SOUTH MELBOURNE,1310000.0,1595000.0,1532500.0,1465000.0,1355000.0,1580000.0,1710000.0,1882500.0,1640000.0,1532500.0
SPRINGVALE,629500.0,685000.0,750000.0,780000.0,746500.0,785000.0,855000.0,886500.0,870000.0,850000.0
SPRINGVALE SOUTH,562000.0,630000.0,720000.0,720000.0,679000.0,725000.0,800000.0,810000.0,810500.0,850500.0
ST ARNAUD,141000.0,142500.0,145000.0,145000.0,175000.0,170000.0,225000.0,310000.0,280000.0,275000.0
ST KILDA EAST,1382500.0,1677500.0,1460000.0,1620000.0,1560500.0,1650000.0,1840000.0,1785000.0,1667500.0,1690500.0
STAWELL,177000.0,177000.0,188000.0,190000.0,189000.0,227000.0,290000.0,355000.0,319000.0,315000.0
STRATHFIELDSAYE,408000.0,425000.0,455000.0,444000.0,476500.0,535000.0,632000.0,702500.0,717500.0,700000.0
STRATHMORE,997500.0,1140000.0,1230000.0,1357500.0,1310000.0,1360000.0,1570000.0,1605000.0,1416500.0,1612000.0
SUNBURY,370000.0,395000.0,492000.0,546000.0,533500.0,571000.0,645000.0,670000.0,660000.0,665000.0
SUNSHINE,530500.0,675000.0,765000.0,742000.0,720000.0,750000.0,870000.0,856500.0,800000.0,820000.0
SUNSHINE NORTH,495000.0,560000.0,653000.0,673500.0,647000.0,689500.0,710000.0,750000.0,724500.0,750000.0
SUNSHINE WEST,450000.0,520000.0,639000.0,635000.0,635000.0,657000.0,740000.0,750000.0,700000.0,685000.0
SWAN HILL,248000.0,262500.0,252000.0,267000.0,285000.0,319500.0,362000.0,405000.0,435000.0,472500.0
SYDENHAM,440000.0,505000.0,590000.0,615000.0,591500.0,635000.0,690000.0,697500.0,741500.0,704000.0
TAYLORS HILL,530000.0,600000.0,686000.0,723000.0,702000.0,754000.0,840000.0,908000.0,906500.0,885000.0
TAYLORS LAKES,561500.0,635000.0,720000.0,763500.0,750000.0,777500.0,883500.0,936000.0,922500.0,945000.0
TEMPLESTOWE,1180000.0,1260000.0,1415000.0,1308000.0,1292500.0,1381500.0,1603000.0,1628500.0,1695000.0,1650000.0
TEMPLESTOWE LOWER,1060000.0,1105500.0,1302000.0,1150000.0,1080000.0,1189000.0,1432500.0,1390000.0,1410000.0,1362000.0
THE BASIN,550000.0,595000.0,610000.0,682500.0,695000.0,739000.0,875000.0,864000.0,850000.0,881000.0
THOMASTOWN,437000.0,493000.0,654000.0,636000.0,592000.0,620000.0,720000.0,710000.0,691000.0,720000.0
THORNBURY,918000.0,1079500.0,1230000.0,1137500.0,1150000.0,1252500.0,1500000.0,1455000.0,1410000.0,1430000.0
